The Marvelous Mrs. Maisel,Main,1,Rachel Brosnahan,"Miriam ""Midge"" Maisel ", a Jewish American housewife who discovers her flair for stand-up comedy after her husband leaves her. She finds a job as a make-up counter girl at B. Altman and starts performing stand-up comedy in clubs across New York.
The Marvelous Mrs. Maisel,Main,2,Alex Borstein,Susie Myerson, an employee of The Gaslight Cafe and Midge's manager.
The Marvelous Mrs. Maisel,Main,3,Michael Zegen,Joel Maisel," Midge's estranged husband, who leaves Midge for his secretary. He is an aspiring, though untalented, stand-up comic who copies Bob Newhart's routines. Joel quits his uncle's plastics company and ends up working at his father's garment factory. Lenny Palmieri portrays a thirteen-year-old Joel in a guest appearance in the episode ""Put That On Your Plate!""."
The Marvelous Mrs. Maisel,Main,4,Marin Hinkle,Rose Weissman , Midge's mother who later becomes a matchmaker.
The Marvelous Mrs. Maisel,Main,5,Tony Shalhoub,"Abraham ""Abe"" Weissman"," Midge's father, a mathematics professor at Columbia University and researcher at Bell Labs. He later begins a new career as the theater critic for The Village Voice."
The Marvelous Mrs. Maisel,Main,6,Kevin Pollak,Moishe Maisel ," Joel's father, the owner of Maisel and Roth Garment Company."
The Marvelous Mrs. Maisel,Main,7,Caroline Aaron,Shirley Maisel , Joel's mother.
The Marvelous Mrs. Maisel,Main,8,Jane Lynch,Sophie Lennon ," a successful stand-up comic who uses a fat suit and schtick gimmicks to portray a frumpy, uncouth housewife from Queens in her act. In reality, she is a rich, snobbish Manhattan socialite with refined tastes."
The Marvelous Mrs. Maisel,Main,9,Luke Kirby,Lenny Bruce , a well-known New York City comedian and close friend of Midge's.
The Marvelous Mrs. Maisel,Recurring,10,Matilda Szydagis,Zelda, the Weissmans' maid.
The Marvelous Mrs. Maisel,Recurring,11,Nunzio and Matteo Pascale,Ethan Maisel, Midge and Joel's elder child.
The Marvelous Mrs. Maisel,Recurring,12,Brian Tarantina,Jackie," the emcee at The Gaslight. After Tarantina's death, his character dies offscreen of a stroke in season 4."
The Marvelous Mrs. Maisel,Recurring,13,Joel Johnstone,Archie Cleary, Imogene's husband and Joel's coworker.
